"date","run","replicate","location","value","site"
"3/08/2017",2,1,"WAC",26,"NorthShore"
"3/08/2017",2,2,"WAC",34,"NorthShore"
"3/08/2017",2,3,"WAC",34,"NorthShore"
"3/08/2017",3,1,"WAC",57,"NorthShore"
"3/08/2017",3,2,"WAC",14,"NorthShore"
"3/08/2017",3,3,"WAC",30,"NorthShore"
"9/08/2017",1,1,"WAC",227,"NorthShore"
"9/08/2017",1,2,"WAC",98,"NorthShore"
"9/08/2017",1,3,"WAC",114,"NorthShore"
"9/08/2017",3,1,"WAC",167,"NorthShore"
"9/08/2017",3,2,"WAC",80,"NorthShore"
"9/08/2017",3,3,"WAC",336,"NorthShore"
"18/08/2017",1,1,"WAC",34,"NorthShore"
"18/08/2017",1,2,"WAC",56,"NorthShore"
"18/08/2017",1,3,"WAC",70,"NorthShore"
"18/08/2017",2,1,"WAC",146,"NorthShore"
"18/08/2017",2,2,"WAC",229,"NorthShore"
"18/08/2017",2,3,"WAC",111,"NorthShore"
"18/08/2017",3,1,"WAC",67,"NorthShore"
"18/08/2017",3,2,"WAC",103,"NorthShore"
"18/08/2017",3,3,"WAC",97,"NorthShore"
"28/08/2017",1,1,"WAC",104,"NorthShore"
"28/08/2017",1,2,"WAC",44,"NorthShore"
"28/08/2017",1,3,"WAC",21,"NorthShore"
"28/08/2017",2,1,"WAC",19,"NorthShore"
"28/08/2017",2,2,"WAC",76,"NorthShore"
"28/08/2017",2,3,"WAC",44,"NorthShore"
"28/08/2017",3,1,"WAC",13,"NorthShore"
"28/08/2017",3,2,"WAC",14,"NorthShore"
"28/08/2017",3,3,"WAC",13,"NorthShore"
"14/09/2017",1,1,"WAC",10,"NorthShore"
"14/09/2017",1,2,"WAC",19,"NorthShore"
"14/09/2017",1,3,"WAC",15,"NorthShore"
"14/09/2017",2,1,"WAC",15,"NorthShore"
"14/09/2017",2,2,"WAC",13,"NorthShore"
"14/09/2017",2,3,"WAC",13,"NorthShore"
"14/09/2017",3,1,"WAC",12,"NorthShore"
"14/09/2017",3,2,"WAC",13,"NorthShore"
"14/09/2017",3,3,"WAC",14,"NorthShore"
"18/09/2017",1,2,"WAC",859,"NorthShore"
"18/09/2017",1,3,"WAC",583,"NorthShore"
"18/09/2017",2,1,"WAC",441,"NorthShore"
"18/09/2017",2,2,"WAC",739,"NorthShore"
"18/09/2017",2,3,"WAC",352,"NorthShore"
"18/09/2017",3,1,"WAC",20,"NorthShore"
"18/09/2017",3,2,"WAC",89,"NorthShore"
"18/09/2017",3,3,"WAC",34,"NorthShore"
"27/09/2017",1,1,"WAC",514,"NorthShore"
"27/09/2017",1,2,"WAC",248,"NorthShore"
"27/09/2017",1,3,"WAC",259,"NorthShore"
"27/09/2017",2,1,"WAC",30,"NorthShore"
"27/09/2017",2,2,"WAC",55,"NorthShore"
"27/09/2017",2,3,"WAC",11,"NorthShore"
"27/09/2017",3,1,"WAC",41,"NorthShore"
"27/09/2017",3,2,"WAC",14,"NorthShore"
"27/09/2017",3,3,"WAC",24,"NorthShore"
"3/08/2017",1,1,"WAS",148,"NorthShore"
"3/08/2017",1,2,"WAS",88,"NorthShore"
"3/08/2017",1,3,"WAS",126,"NorthShore"
"3/08/2017",2,1,"WAS",43,"NorthShore"
"3/08/2017",2,2,"WAS",48,"NorthShore"
"3/08/2017",2,3,"WAS",47,"NorthShore"
"3/08/2017",3,1,"WAS",33,"NorthShore"
"3/08/2017",3,2,"WAS",21,"NorthShore"
"3/08/2017",3,3,"WAS",22,"NorthShore"
"9/08/2017",1,1,"WAS",184,"NorthShore"
"9/08/2017",1,2,"WAS",406,"NorthShore"
"9/08/2017",1,3,"WAS",279,"NorthShore"
"9/08/2017",3,1,"WAS",819,"NorthShore"
"9/08/2017",3,2,"WAS",666,"NorthShore"
"9/08/2017",3,3,"WAS",776,"NorthShore"
"18/08/2017",1,1,"WAS",57,"NorthShore"
"18/08/2017",1,2,"WAS",67,"NorthShore"
"18/08/2017",1,3,"WAS",225,"NorthShore"
"18/08/2017",2,1,"WAS",793,"NorthShore"
"18/08/2017",2,2,"WAS",652,"NorthShore"
"18/08/2017",2,3,"WAS",576,"NorthShore"
"18/08/2017",3,1,"WAS",66,"NorthShore"
"18/08/2017",3,2,"WAS",80,"NorthShore"
"18/08/2017",3,3,"WAS",90,"NorthShore"
"28/08/2017",1,1,"WAS",55,"NorthShore"
"28/08/2017",1,2,"WAS",115,"NorthShore"
"28/08/2017",1,3,"WAS",56,"NorthShore"
"28/08/2017",2,1,"WAS",56,"NorthShore"
"28/08/2017",2,2,"WAS",126,"NorthShore"
"28/08/2017",2,3,"WAS",33,"NorthShore"
"28/08/2017",3,1,"WAS",33,"NorthShore"
"28/08/2017",3,2,"WAS",54,"NorthShore"
"28/08/2017",3,3,"WAS",79,"NorthShore"
"14/09/2017",1,1,"WAS",20,"NorthShore"
"14/09/2017",1,2,"WAS",13,"NorthShore"
"14/09/2017",1,3,"WAS",13,"NorthShore"
"14/09/2017",2,1,"WAS",13,"NorthShore"
"14/09/2017",2,2,"WAS",15,"NorthShore"
"14/09/2017",2,3,"WAS",14,"NorthShore"
"14/09/2017",3,1,"WAS",11,"NorthShore"
"14/09/2017",3,2,"WAS",12,"NorthShore"
"14/09/2017",3,3,"WAS",54,"NorthShore"
"18/09/2017",1,1,"WAS",35,"NorthShore"
"18/09/2017",1,2,"WAS",15,"NorthShore"
"18/09/2017",1,3,"WAS",24,"NorthShore"
"18/09/2017",2,1,"WAS",114,"NorthShore"
"18/09/2017",2,2,"WAS",137,"NorthShore"
"18/09/2017",2,3,"WAS",129,"NorthShore"
"18/09/2017",3,1,"WAS",87,"NorthShore"
"18/09/2017",3,2,"WAS",56,"NorthShore"
"18/09/2017",3,3,"WAS",47,"NorthShore"
"27/09/2017",1,1,"WAS",22,"NorthShore"
"27/09/2017",1,2,"WAS",60,"NorthShore"
"27/09/2017",1,3,"WAS",66,"NorthShore"
"27/09/2017",2,1,"WAS",17,"NorthShore"
"27/09/2017",2,2,"WAS",12,"NorthShore"
"27/09/2017",2,3,"WAS",15,"NorthShore"
"27/09/2017",3,1,"WAS",115,"NorthShore"
"27/09/2017",3,2,"WAS",138,"NorthShore"
"27/09/2017",3,3,"WAS",191,"NorthShore"
"3/08/2017",1,1,"BBN",47,"NorthShore"
"3/08/2017",1,2,"BBN",33,"NorthShore"
"3/08/2017",1,3,"BBN",13,"NorthShore"
"3/08/2017",2,1,"BBN",44,"NorthShore"
"3/08/2017",2,2,"BBN",76,"NorthShore"
"3/08/2017",2,3,"BBN",24,"NorthShore"
"3/08/2017",3,1,"BBN",16,"NorthShore"
"3/08/2017",3,2,"BBN",33,"NorthShore"
"3/08/2017",3,3,"BBN",46,"NorthShore"
"9/08/2017",1,1,"BBN",820,"NorthShore"
"9/08/2017",1,2,"BBN",699,"NorthShore"
"9/08/2017",1,3,"BBN",623,"NorthShore"
"9/08/2017",2,1,"BBN",529,"NorthShore"
"9/08/2017",2,3,"BBN",883,"NorthShore"
"18/08/2017",1,1,"BBN",12,"NorthShore"
"18/08/2017",1,2,"BBN",35,"NorthShore"
"18/08/2017",1,3,"BBN",13,"NorthShore"
"18/08/2017",2,1,"BBN",56,"NorthShore"
"18/08/2017",2,2,"BBN",80,"NorthShore"
"18/08/2017",2,3,"BBN",65,"NorthShore"
"18/08/2017",3,1,"BBN",138,"NorthShore"
"18/08/2017",3,2,"BBN",8,"NorthShore"
"18/08/2017",3,3,"BBN",56,"NorthShore"
"28/08/2017",1,1,"BBN",65,"NorthShore"
"28/08/2017",1,2,"BBN",101,"NorthShore"
"28/08/2017",1,3,"BBN",45,"NorthShore"
"28/08/2017",2,1,"BBN",11,"NorthShore"
"28/08/2017",2,2,"BBN",36,"NorthShore"
"28/08/2017",2,3,"BBN",15,"NorthShore"
"28/08/2017",3,1,"BBN",24,"NorthShore"
"28/08/2017",3,2,"BBN",34,"NorthShore"
"28/08/2017",3,3,"BBN",22,"NorthShore"
"14/09/2017",1,1,"BBN",14,"NorthShore"
"14/09/2017",1,2,"BBN",14,"NorthShore"
"14/09/2017",1,3,"BBN",11,"NorthShore"
"14/09/2017",2,1,"BBN",16,"NorthShore"
"14/09/2017",2,2,"BBN",14,"NorthShore"
